county,type,Child,Adult,Middle Age,Older Adult,Elderly,total
Adair,confirmed,0,0,1,0,0,1
Adair,deaths,0,0,0,0,0,0
Adams,confirmed,,,,,,0
Adams,deaths,,,,,,0
Allamakee,confirmed,2,7,10,7,0,26
Allamakee,deaths,0,0,0,3,0,3
Appanoose,confirmed,0,0,0,1,1,2
Appanoose,deaths,0,0,0,0,1,1
Audubon,confirmed,0,0,0,1,0,1
Audubon,deaths,0,0,0,0,0,0
Benton,confirmed,1,2,12,3,2,20
Benton,deaths,0,0,0,0,1,1
Black Hawk,confirmed,1,46,42,16,4,109
Black Hawk,deaths,0,0,0,0,0,0
Boone,confirmed,0,1,3,0,0,4
Boone,deaths,0,0,0,0,0,0
Bremer,confirmed,0,3,1,2,4,10
Bremer,deaths,0,0,0,0,0,0
Buchanan,confirmed,0,4,3,1,0,8
Buchanan,deaths,0,0,0,0,0,0
Buena Vista,confirmed,0,0,2,0,0,2
Buena Vista,deaths,0,0,0,0,0,0
Butler,confirmed,0,0,0,1,0,1
Butler,deaths,0,0,0,0,0,0
Calhoun,confirmed,,,,,,0
Calhoun,deaths,,,,,,0
Carroll,confirmed,0,0,0,1,0,1
Carroll,deaths,0,0,0,0,0,0
Cass,confirmed,0,0,1,0,0,1
Cass,deaths,0,0,0,0,0,0
Cedar,confirmed,0,7,9,6,1,23
Cedar,deaths,0,0,0,0,0,0
Cerro Gordo,confirmed,0,2,6,6,0,14
Cerro Gordo,deaths,0,0,0,0,0,0
Cherokee,confirmed,,,,,,0
Cherokee,deaths,,,,,,0
Chickasaw,confirmed,0,1,1,0,0,2
Chickasaw,deaths,0,0,0,0,0,0
Clarke,confirmed,0,1,1,0,0,2
Clarke,deaths,0,0,0,0,0,0
Clay,confirmed,0,1,1,0,0,2
Clay,deaths,0,0,0,0,0,0
Clayton,confirmed,0,5,0,1,1,7
Clayton,deaths,0,0,0,0,1,1
Clinton,confirmed,1,9,20,9,0,39
Clinton,deaths,0,0,0,0,0,0
Crawford,confirmed,0,1,2,3,0,6
Crawford,deaths,0,0,0,1,0,1
Dallas,confirmed,0,19,14,7,2,42
Dallas,deaths,0,0,0,0,0,0
Davis,confirmed,,,,,,0
Davis,deaths,,,,,,0
Decatur,confirmed,,,,,,0
Decatur,deaths,,,,,,0
Delaware,confirmed,0,0,0,2,0,2
Delaware,deaths,0,0,0,0,0,0
Des Moines,confirmed,0,2,2,3,0,7
Des Moines,deaths,0,0,0,0,0,0
Dickinson,confirmed,0,0,0,1,0,1
Dickinson,deaths,0,0,0,0,0,0
Dubuque,confirmed,1,5,22,10,1,39
Dubuque,deaths,0,0,0,1,0,1
Emmet,confirmed,,,,,,0
Emmet,deaths,,,,,,0
Fayette,confirmed,0,2,2,1,0,5
Fayette,deaths,0,0,0,0,0,0
Floyd,confirmed,,,,,,0
Floyd,deaths,,,,,,0
Franklin,confirmed,0,0,1,0,0,1
Franklin,deaths,0,0,0,0,0,0
Fremont,confirmed,,,,,,0
Fremont,deaths,,,,,,0
Greene,confirmed,0,0,1,0,0,1
Greene,deaths,0,0,0,0,0,0
Grundy,confirmed,0,0,1,0,0,1
Grundy,deaths,0,0,0,0,0,0
Guthrie,confirmed,1,1,1,0,0,3
Guthrie,deaths,0,0,0,0,0,0
Hamilton,confirmed,0,1,0,1,0,2
Hamilton,deaths,0,0,0,0,0,0
Hancock,confirmed,0,0,1,2,0,3
Hancock,deaths,0,0,0,0,0,0
Hardin,confirmed,0,0,1,0,0,1
Hardin,deaths,0,0,0,0,0,0
Harrison,confirmed,0,1,3,8,0,12
Harrison,deaths,0,0,0,0,0,0
Henry,confirmed,1,9,4,5,3,22
Henry,deaths,0,0,1,0,0,1
Howard,confirmed,0,2,0,0,0,2
Howard,deaths,0,0,0,0,0,0
Humboldt,confirmed,,,,,,0
Humboldt,deaths,,,,,,0
Ida,confirmed,,,,,,0
Ida,deaths,,,,,,0
Iowa,confirmed,0,4,3,1,0,8
Iowa,deaths,0,0,0,0,0,0
Jackson,confirmed,0,1,2,1,0,4
Jackson,deaths,0,0,0,0,0,0
Jasper,confirmed,0,6,9,5,3,23
Jasper,deaths,0,0,0,0,0,0
Jefferson,confirmed,0,2,2,0,0,4
Jefferson,deaths,0,0,0,0,0,0
Johnson,confirmed,1,100,88,43,2,234
Johnson,deaths,0,0,0,2,1,3
Jones,confirmed,0,4,7,1,0,12
Jones,deaths,0,0,0,0,0,0
Keokuk,confirmed,0,1,0,1,0,2
Keokuk,deaths,0,0,0,0,0,0
Kossuth,confirmed,0,1,0,0,0,1
Kossuth,deaths,0,0,0,0,0,0
Lee,confirmed,0,0,1,2,0,3
Lee,deaths,0,0,0,0,0,0
Linn,confirmed,2,76,96,74,32,280
Linn,deaths,0,0,1,11,10,22
Louisa,confirmed,0,72,70,20,4,166
Louisa,deaths,0,0,1,0,0,1
Lucas,confirmed,,,,,,0
Lucas,deaths,,,,,,0
Lyon,confirmed,0,2,2,1,0,5
Lyon,deaths,0,0,0,0,0,0
Madison,confirmed,0,0,0,3,0,3
Madison,deaths,0,0,0,1,0,1
Mahaska,confirmed,0,0,5,1,1,7
Mahaska,deaths,0,0,0,0,0,0
Marion,confirmed,0,2,0,1,0,3
Marion,deaths,0,0,0,0,0,0
Marshall,confirmed,0,21,23,5,0,49
Marshall,deaths,0,0,0,0,0,0
Mills,confirmed,0,0,2,0,0,2
Mills,deaths,0,0,0,0,0,0
Mitchell,confirmed,0,0,2,0,0,2
Mitchell,deaths,0,0,0,0,0,0
Monona,confirmed,1,1,0,2,2,6
Monona,deaths,0,0,0,0,0,0
Monroe,confirmed,,,,,,0
Monroe,deaths,,,,,,0
Montgomery,confirmed,0,0,1,0,0,1
Montgomery,deaths,0,0,0,0,0,0
Muscatine,confirmed,4,42,65,32,5,148
Muscatine,deaths,0,0,1,1,0,2
O'Brien,confirmed,0,0,2,1,0,3
O'Brien,deaths,0,0,0,0,0,0
Osceola,confirmed,0,0,2,0,0,2
Osceola,deaths,0,0,0,0,0,0
Page,confirmed,0,0,2,1,0,3
Page,deaths,0,0,0,0,0,0
Palo Alto,confirmed,,,,,,0
Palo Alto,deaths,,,,,,0
Plymouth,confirmed,0,4,0,1,0,5
Plymouth,deaths,0,0,0,0,0,0
Pocahontas,confirmed,,,,,,0
Pocahontas,deaths,,,,,,0
Polk,confirmed,4,77,78,73,24,256
Polk,deaths,0,2,0,4,4,10
Pottawattamie,confirmed,1,1,8,5,0,15
Pottawattamie,deaths,0,0,0,1,0,1
Poweshiek,confirmed,0,2,1,3,1,7
Poweshiek,deaths,0,0,0,0,1,1
Ringgold,confirmed,,,,,,0
Ringgold,deaths,,,,,,0
Sac,confirmed,,,,,,0
Sac,deaths,,,,,,0
Scott,confirmed,1,42,72,26,5,146
Scott,deaths,0,0,0,0,2,2
Shelby,confirmed,0,0,3,3,1,7
Shelby,deaths,0,0,0,0,0,0
Sioux,confirmed,0,1,1,5,0,7
Sioux,deaths,0,0,0,0,0,0
Story,confirmed,0,5,4,5,2,16
Story,deaths,0,0,0,0,0,0
Tama,confirmed,0,35,39,21,19,114
Tama,deaths,0,0,0,0,4,4
Taylor,confirmed,0,1,0,0,0,1
Taylor,deaths,0,0,0,0,0,0
Union,confirmed,0,0,0,1,0,1
Union,deaths,0,0,0,0,0,0
Van Buren,confirmed,0,1,2,5,0,8
Van Buren,deaths,0,0,0,0,0,0
Wapello,confirmed,0,2,3,1,0,6
Wapello,deaths,0,0,0,0,0,0
Warren,confirmed,1,6,8,1,1,17
Warren,deaths,0,0,0,0,0,0
Washington,confirmed,4,27,40,28,7,106
Washington,deaths,0,0,0,2,2,4
Wayne,confirmed,,,,,,0
Wayne,deaths,,,,,,0
Webster,confirmed,0,1,0,1,0,2
Webster,deaths,0,0,0,0,0,0
Winnebago,confirmed,0,1,1,0,0,2
Winnebago,deaths,0,0,0,0,0,0
Winneshiek,confirmed,0,2,2,1,0,5
Winneshiek,deaths,0,0,0,0,0,0
Woodbury,confirmed,0,5,14,3,0,22
Woodbury,deaths,0,0,0,0,0,0
Worth,confirmed,0,0,1,0,0,1
Worth,deaths,0,0,0,0,0,0
Wright,confirmed,0,0,1,0,0,1
Wright,deaths,0,0,0,0,0,0